,lat,lon,onset_threshold
926,6.75,35.5,20
927,6.75,35.75,20
928,6.75,36.0,20
929,6.75,36.25,20
930,6.75,36.5,20
931,6.75,36.75,20
932,6.75,37.0,20
933,6.75,37.25,20
934,6.75,37.5,20
935,6.75,37.75,20
936,6.75,38.0,20
937,6.75,38.25,20
938,6.75,38.5,20
939,6.75,38.75,20
940,6.75,39.0,20
941,6.75,39.25,20
942,6.75,39.5,20
943,6.75,39.75,20
944,6.75,40.0,20
945,6.75,40.25,20
946,6.75,40.5,20
947,6.75,40.75,20
948,6.75,41.0,20
949,6.75,41.25,20
950,6.75,41.5,20
951,6.75,41.75,20
952,6.75,42.0,20
953,6.75,42.25,20
954,6.75,42.5,20
955,6.75,42.75,20
956,6.75,43.0,20
957,6.75,43.25,20
958,6.75,43.5,20
959,6.75,43.75,20
960,6.75,44.0,20
961,6.75,44.25,20
962,6.75,44.5,20
963,6.75,44.75,20
964,6.75,45.0,20
965,6.75,45.25,20
966,6.75,45.5,20
967,6.75,45.75,20
968,6.75,46.0,20
969,6.75,46.25,20
970,6.75,46.5,20
971,6.75,46.75,20
972,6.75,47.0,20
973,6.75,47.25,20
974,6.75,47.5,20
975,6.75,47.75,20
976,6.75,48.0,20
977,7.0,33.0,20
978,7.0,33.25,20
979,7.0,33.5,20
980,7.0,33.75,20
981,7.0,34.0,20
982,7.0,34.25,20
983,7.0,34.5,20
984,7.0,34.75,20
985,7.0,35.0,20
986,7.0,35.25,20
987,7.0,35.5,20
988,7.0,35.75,20
989,7.0,36.0,20
990,7.0,36.25,20
991,7.0,36.5,20
992,7.0,36.75,20
993,7.0,37.0,20
994,7.0,37.25,20
995,7.0,37.5,20
996,7.0,37.75,20
997,7.0,38.0,20
998,7.0,38.25,20
999,7.0,38.5,20
1000,7.0,38.75,20
1001,7.0,39.0,20
1002,7.0,39.25,20
1003,7.0,39.5,20
1004,7.0,39.75,20
1005,7.0,40.0,20
1006,7.0,40.25,20
1007,7.0,40.5,20
1008,7.0,40.75,20
1009,7.0,41.0,20
1010,7.0,41.25,20
1011,7.0,41.5,20
1012,7.0,41.75,20
1013,7.0,42.0,20
1014,7.0,42.25,20
1015,7.0,42.5,20
1016,7.0,42.75,20
1017,7.0,43.0,20
1018,7.0,43.25,20
1019,7.0,43.5,20
1020,7.0,43.75,20
1021,7.0,44.0,20
1022,7.0,44.25,20
1023,7.0,44.5,20
1024,7.0,44.75,20
1025,7.0,45.0,20
1026,7.0,45.25,20
1027,7.0,45.5,20
1028,7.0,45.75,20
1029,7.0,46.0,20
1030,7.0,46.25,20
1031,7.0,46.5,20
1032,7.0,46.75,20
1033,7.0,47.0,20
1034,7.0,47.25,20
1035,7.0,47.5,20
1036,7.0,47.75,20
1037,7.0,48.0,20
1038,7.25,33.0,20
1039,7.25,33.25,20
1040,7.25,33.5,20
1041,7.25,33.75,20
1042,7.25,34.0,20
1043,7.25,34.25,20
1044,7.25,34.5,20
1045,7.25,34.75,20
1046,7.25,35.0,20
1047,7.25,35.25,20
1048,7.25,35.5,20
1049,7.25,35.75,20
1050,7.25,36.0,20
1051,7.25,36.25,20
1052,7.25,36.5,20
1053,7.25,36.75,20
1054,7.25,37.0,20
1055,7.25,37.25,20
1056,7.25,37.5,20
1057,7.25,37.75,20
1058,7.25,38.0,20
1059,7.25,38.25,20
1060,7.25,38.5,20
1061,7.25,38.75,20
1062,7.25,39.0,20
1063,7.25,39.25,20
1064,7.25,39.5,20
1065,7.25,39.75,20
1066,7.25,40.0,20
1067,7.25,40.25,20
1068,7.25,40.5,20
1069,7.25,40.75,20
1070,7.25,41.0,20
1071,7.25,41.25,20
1072,7.25,41.5,20
1073,7.25,41.75,20
1074,7.25,42.0,20
